Word,Count
world,16
sides,16
which,14
those,14
pledge,14
power,10
shall,10
nations,10
freedom,8
first,8
americans,8
peace,8
always,8
cannot,8
other,8
citizens,8
country,8
today,6
human,6
poverty,6
globe,6
generation,6
control,6
because,6
begin,6
never,6
final,6
fellow,6
before,4
century,4
hands,4
forms,4
around,4
rights,4
revolution,4
forth,4
friend,4
passed,4
nation,4
committed,4
every,4
whether,4
burden,4
support,4
oppose,4
assure,4
success,4
loyalty,4
united,4
there,4
little,4
powerful,4
states,4
welcome,4
merely,4
tyranny,4
supporting,4
their,4
people,4
themselves,4
south,4
offer,4
deeds,4
alliance,4
powers,4
where,4
instruments,4
finally,4
would,4
science,4
weakness,4
beyond,4
doubt,4
course,4
balance,4
negotiate,4
explore,4
problems,4
unite,4
instead,4
bring,4
absolute,4
together,4
disease,4
earth,4
endeavor,4
finished,4
though,4
struggle,4
against,4
enemies,4
history,4
light,4
truly,4
america,4
observe,2
victory,2
party,2
celebration,2
symbolizing,2
beginning,2
signifying,2
renewal,2
change,2
sworn,2
almighty,2
solemn,2
forbears,2
prescribed,2
nearly,2
three-quarters,2
different,2
holds,2
mortal,2
abolish,2
revolutionary,2
beliefs,2
forebears,2
fought,2
still,2
issue,2
belief,2
generosity,2
state,2
forget,2
heirs,2
place,2
alike,2
torch,2
tempered,2
disciplined,2
bitter,2
proud,2
ancient,2
heritage,2
unwilling,2
witness,2
permit,2
undoing,2
wishes,2
price,2
hardship,2
survival,2
liberty,2
allies,2
whose,2
cultural,2
spiritual,2
origins,2
share,2
faithful,2
friends,2
cooperative,2
ventures,2
divided,2
challenge,2
split,2
asunder,2
ranks,2
colonial,2
replaced,2
expect,2
strongly,2
remember,2
foolishly,2
sought,2
riding,2
tiger,2
ended,2
inside,2
villages,2
struggling,2
break,2
bonds,2
misery,2
efforts,2
whatever,2
period,2
required,2
communists,2
doing,2
votes,2
right,2
society,2
sister,2
republics,2
border,2
special,2
convert,2
words,2
progress,2
assist,2
governments,2
casting,2
chains,2
peaceful,2
become,2
hostile,2
neighbors,2
aggression,2
subversion,2
anywhere,2
americas,2
hemisphere,2
intends,2
remain,2
master,2
house,2
assembly,2
sovereign,2
outpaced,2
renew,2
prevent,2
becoming,2
forum,2
invective,2
strengthen,2
shield,2
enlarge,2
adversary,2
request,2
quest,2
destruction,2
unleashed,2
engulf,2
humanity,2
planned,2
accidental,2
self-destruction,2
tempt,2
sufficient,2
certain,2
employed,2
neither,2
great,2
groups,2
comfort,2
present,2
overburdened,2
modern,2
weapons,2
rightly,2
alarmed,2
steady,2
spread,2
deadly,2
racing,2
alter,2
uncertain,2
terror,2
stays,2
mankinds,2
remembering,2
civility,2
sincerity,2
subject,2
proof,2
belaboring,2
divide,2
formulate,2
serious,2
precise,2
proposals,2
inspection,2
destroy,2
under,2
invoke,2
wonders,2
terrors,2
stars,2
conquer,2
deserts,2
eradicate,2
ocean,2
depths,2
encourage,2
commerce,2
corners,2
command,2
isaiah,2
heavy,2
burdens,2
oppressed,2
beachhead,2
cooperation,2
jungle,2
suspicion,2
creating,2
strong,2
secure,2
preserved,2
hundred,2
thousand,2
administration,2
perhaps,2
lifetime,2
planet,2
failure,2
since,2
founded,2
summoned,2
testimony,2
national,2
graves,2
young,2
answered,2
service,2
surround,2
trumpet,2
summons,2
again,2
battle,2
embattled,2
twilight,2
rejoicing,2
patient,2
tribulation,2
common,2
itself,2
forge,2
these,2
grand,2
global,2
north,2
fruitful,2
mankind,2
historic,2
effort,2
generations,2
granted,2
defending,2
maximum,2
danger,2
shrink,2
responsibility,2
believe,2
exchange,2
places,2
energy,2
faith,2
devotion,2
serve,2
standards,2
strength,2
sacrifice,2
conscience,2
reward,2
judge,2
asking,2
blessing,2
knowing,2
